date,open,high,low,close,volume
2025-12-24T10:00:00.000000000,973.9,974.2,973.5,973.65,32173.0
2025-12-24T10:05:00.000000000,973.65,974.55,973.6,974.55,22851.0
2025-12-24T10:10:00.000000000,974.5,976.35,974.2,976.2,107051.0
2025-12-24T10:15:00.000000000,976.0,977.3,976.0,976.9,91104.0
2025-12-24T10:20:00.000000000,977.0,977.25,976.75,977.0,53629.0
2025-12-24T10:25:00.000000000,977.0,977.0,976.45,976.8,12745.0
2025-12-24T10:30:00.000000000,976.65,976.9,976.05,976.9,29268.0
2025-12-24T10:35:00.000000000,976.85,977.05,976.65,977.0,19426.0
2025-12-24T10:40:00.000000000,977.05,977.2,976.25,976.25,31504.0
2025-12-24T10:45:00.000000000,976.5,976.6,975.5,975.5,32095.0
2025-12-24T10:50:00.000000000,975.7,975.75,975.2,975.6,38079.0
2025-12-24T10:55:00.000000000,975.55,975.6,974.8,975.15,59710.0
2025-12-24T11:00:00.000000000,975.25,975.5,973.85,973.9,55440.0
2025-12-24T11:05:00.000000000,973.9,975.2,973.9,975.1,40328.0
2025-12-24T11:10:00.000000000,975.1,975.4,974.8,975.3,17749.0
2025-12-24T11:15:00.000000000,975.3,976.05,975.3,975.5,19361.0
2025-12-24T11:20:00.000000000,975.5,975.95,975.35,975.65,25071.0
2025-12-24T11:25:00.000000000,975.8,975.9,975.1,975.6,16021.0
2025-12-24T11:30:00.000000000,975.6,976.45,975.55,976.4,21717.0
2025-12-24T11:35:00.000000000,976.35,976.45,975.5,975.6,20435.0
2025-12-24T11:40:00.000000000,975.55,975.7,974.5,974.8,23657.0
2025-12-24T11:45:00.000000000,974.7,974.95,973.8,974.4,30809.0
2025-12-24T11:50:00.000000000,974.6,974.9,973.3,973.7,41623.0
2025-12-24T11:55:00.000000000,973.5,974.25,973.5,973.75,67476.0
2025-12-24T12:00:00.000000000,973.75,974.2,973.55,974.1,35919.0
2025-12-24T12:05:00.000000000,974.2,974.5,973.5,973.5,34580.0
2025-12-24T12:10:00.000000000,973.45,974.4,973.3,974.25,105358.0
2025-12-24T12:15:00.000000000,974.15,974.5,973.5,973.9,29029.0
2025-12-24T12:20:00.000000000,974.0,974.55,973.55,973.9,112475.0
2025-12-24T12:25:00.000000000,973.75,974.25,973.65,974.0,28734.0
2025-12-24T12:30:00.000000000,974.0,974.2,973.7,974.0,19395.0
2025-12-24T12:35:00.000000000,974.1,974.2,973.5,973.9,24034.0
2025-12-24T12:40:00.000000000,973.55,973.9,972.15,972.7,51262.0
2025-12-24T12:45:00.000000000,972.75,972.95,972.45,972.55,18717.0
2025-12-24T12:50:00.000000000,972.7,972.75,972.0,972.0,47361.0
2025-12-24T12:55:00.000000000,972.2,972.35,971.5,972.0,80082.0
2025-12-24T13:00:00.000000000,971.9,972.6,971.7,972.5,29899.0
2025-12-24T13:05:00.000000000,972.5,972.65,971.8,972.05,36590.0
2025-12-24T13:10:00.000000000,972.05,972.25,970.55,971.0,131472.0
2025-12-24T13:15:00.000000000,971.0,971.0,969.75,969.75,120978.0
2025-12-24T13:20:00.000000000,969.9,970.0,969.25,969.5,65268.0
2025-12-24T13:25:00.000000000,969.45,970.0,969.05,970.0,92600.0
2025-12-24T13:30:00.000000000,970.0,970.0,969.4,969.9,49225.0
2025-12-24T13:35:00.000000000,969.95,970.0,969.2,969.6,39979.0
2025-12-24T13:40:00.000000000,969.7,970.0,969.5,970.0,36896.0
2025-12-24T13:45:00.000000000,969.9,970.9,969.8,970.8,52504.0
2025-12-24T13:50:00.000000000,971.05,971.4,970.3,970.5,80235.0
2025-12-24T13:55:00.000000000,970.8,970.8,970.2,970.55,19225.0
2025-12-24T14:00:00.000000000,970.65,970.65,969.6,970.2,29493.0
2025-12-24T14:05:00.000000000,970.2,971.15,970.15,971.1,115756.0
2025-12-24T14:10:00.000000000,971.05,971.25,970.3,971.1,38016.0
2025-12-24T14:15:00.000000000,971.0,971.4,970.6,971.2,18995.0
2025-12-24T14:20:00.000000000,971.05,971.2,970.5,970.7,16872.0
2025-12-24T14:25:00.000000000,970.8,970.85,969.7,970.2,119633.0
2025-12-24T14:30:00.000000000,970.15,970.75,970.0,970.45,40808.0
2025-12-24T14:35:00.000000000,970.6,970.7,970.0,970.25,28323.0
2025-12-24T14:40:00.000000000,970.05,970.7,970.05,970.25,31015.0
2025-12-24T14:45:00.000000000,970.4,971.1,970.3,970.65,59337.0
2025-12-24T14:50:00.000000000,970.65,970.8,970.15,970.5,57454.0
2025-12-24T14:55:00.000000000,970.3,970.5,969.85,970.3,47224.0
2025-12-24T15:00:00.000000000,970.2,970.5,969.0,969.2,57265.0
2025-12-24T15:05:00.000000000,969.15,969.45,968.55,968.7,73059.0
2025-12-24T15:10:00.000000000,968.5,969.1,968.35,968.6,219672.0
2025-12-24T15:15:00.000000000,968.55,969.7,968.2,968.85,163275.0
2025-12-24T15:20:00.000000000,968.95,969.35,968.2,968.35,97634.0
2025-12-24T15:25:00.000000000,968.6,969.35,967.5,968.85,147423.0
2025-12-26T09:15:00.000000000,968.35,970.1,967.1,968.35,108165.0
2025-12-26T09:20:00.000000000,968.35,970.0,968.2,968.2,55330.0
2025-12-26T09:25:00.000000000,968.35,969.65,968.2,969.4,41794.0
2025-12-26T09:30:00.000000000,969.3,969.75,968.0,968.05,45740.0
2025-12-26T09:35:00.000000000,968.1,968.2,967.05,967.95,45575.0
2025-12-26T09:40:00.000000000,967.95,968.7,967.8,968.3,20918.0
2025-12-26T09:45:00.000000000,968.4,969.0,968.2,968.8,19575.0
2025-12-26T09:50:00.000000000,968.7,968.9,968.2,968.45,20787.0
2025-12-26T09:55:00.000000000,968.45,969.65,968.25,969.3,20677.0
2025-12-26T10:00:00.000000000,969.3,969.45,968.2,968.6,41638.0
2025-12-26T10:05:00.000000000,968.6,968.65,968.0,968.1,23585.0
2025-12-26T10:10:00.000000000,968.1,968.25,967.6,968.2,13645.0
2025-12-26T10:15:00.000000000,968.0,968.1,967.5,967.5,9758.0
2025-12-26T10:20:00.000000000,967.7,967.7,966.5,966.65,39257.0
2025-12-26T10:25:00.000000000,966.65,966.95,966.15,966.55,40691.0
2025-12-26T10:30:00.000000000,966.55,967.35,966.55,967.35,23402.0
2025-12-26T10:35:00.000000000,967.45,967.95,967.0,967.75,37720.0
2025-12-26T10:40:00.000000000,967.75,968.2,966.55,967.45,34563.0
2025-12-26T10:45:00.000000000,967.3,967.8,967.2,967.55,11951.0
2025-12-26T10:50:00.000000000,967.3,968.8,967.1,968.3,23388.0
2025-12-26T10:55:00.000000000,968.3,968.4,967.15,967.7,11369.0
2025-12-26T11:00:00.000000000,967.8,967.85,967.3,967.5,8314.0
2025-12-26T11:05:00.000000000,967.5,967.5,966.5,966.85,22298.0
2025-12-26T11:10:00.000000000,966.9,967.5,966.6,966.7,14358.0
2025-12-26T11:15:00.000000000,966.8,966.95,966.25,966.45,23458.0
2025-12-26T11:20:00.000000000,966.4,966.6,966.0,966.3,21440.0
2025-12-26T11:25:00.000000000,966.25,966.55,965.8,966.25,19087.0
2025-12-26T11:30:00.000000000,965.9,966.15,965.1,965.25,32319.0
2025-12-26T11:35:00.000000000,965.25,965.65,965.0,965.05,27704.0
2025-12-26T11:40:00.000000000,965.05,965.65,965.05,965.55,12594.0
2025-12-26T11:45:00.000000000,965.45,965.65,965.0,965.15,15196.0
2025-12-26T11:50:00.000000000,965.15,965.4,964.75,964.95,30315.0
2025-12-26T11:55:00.000000000,964.95,965.5,964.9,965.2,9991.0
2025-12-26T12:00:00.000000000,965.2,965.4,964.95,965.1,10922.0
2025-12-26T12:05:00.000000000,965.0,966.5,965.0,966.3,33870.0
2025-12-26T12:10:00.000000000,966.5,967.3,966.3,966.4,63634.0
2025-12-26T12:15:00.000000000,966.35,966.8,966.0,966.8,24866.0
2025-12-26T12:20:00.000000000,966.8,967.9,966.75,967.65,40168.0
2025-12-26T12:25:00.000000000,967.55,967.8,966.9,967.3,17965.0
2025-12-26T12:30:00.000000000,967.1,967.3,966.5,967.1,23319.0
2025-12-26T12:35:00.000000000,967.1,967.4,966.55,967.0,37149.0
2025-12-26T12:40:00.000000000,966.95,967.3,966.15,967.25,49670.0
2025-12-26T12:45:00.000000000,967.25,967.4,966.95,967.4,12982.0
2025-12-26T12:50:00.000000000,967.35,967.95,967.05,967.9,22299.0
2025-12-26T12:55:00.000000000,967.9,967.9,967.0,967.35,45529.0
2025-12-26T13:00:00.000000000,967.4,967.4,966.85,967.1,22955.0
2025-12-26T13:05:00.000000000,967.05,967.4,967.0,967.1,16809.0
2025-12-26T13:10:00.000000000,967.3,967.95,967.0,967.95,24390.0
2025-12-26T13:15:00.000000000,967.9,968.3,967.8,968.05,55387.0
2025-12-26T13:20:00.000000000,968.05,969.6,967.95,969.0,56904.0
2025-12-26T13:25:00.000000000,968.95,970.6,968.8,970.3,79895.0
2025-12-26T13:30:00.000000000,970.3,970.7,969.95,970.05,47685.0
2025-12-26T13:35:00.000000000,970.0,970.55,970.0,970.5,30910.0
2025-12-26T13:40:00.000000000,970.55,971.0,970.15,970.9,34937.0
2025-12-26T13:45:00.000000000,970.85,971.0,970.4,971.0,26816.0
2025-12-26T13:50:00.000000000,970.95,971.0,970.15,970.5,30386.0
2025-12-26T13:55:00.000000000,970.5,970.7,970.0,970.0,31094.0
2025-12-26T14:00:00.000000000,970.25,970.55,970.0,970.55,27130.0
2025-12-26T14:05:00.000000000,970.2,970.45,969.2,969.5,50013.0
2025-12-26T14:10:00.000000000,969.3,969.5,968.95,969.5,28302.0
2025-12-26T14:15:00.000000000,969.5,969.5,968.45,968.75,37541.0
2025-12-26T14:20:00.000000000,968.85,968.85,968.2,968.5,30531.0
2025-12-26T14:25:00.000000000,968.5,968.5,967.75,968.15,67757.0
2025-12-26T14:30:00.000000000,967.95,968.45,967.95,968.4,35415.0
2025-12-26T14:35:00.000000000,968.15,968.4,967.6,967.95,42751.0
2025-12-26T14:40:00.000000000,967.95,968.35,967.7,968.3,35174.0
2025-12-26T14:45:00.000000000,968.3,968.5,966.2,966.2,365792.0
2025-12-26T14:50:00.000000000,966.35,966.9,966.25,966.8,39536.0
2025-12-26T14:55:00.000000000,966.5,967.0,966.4,966.95,101296.0
2025-12-26T15:00:00.000000000,966.95,967.05,966.6,966.7,98978.0
2025-12-26T15:05:00.000000000,966.8,966.8,966.45,966.6,49607.0
2025-12-26T15:10:00.000000000,966.6,966.7,966.3,966.45,77460.0
2025-12-26T15:15:00.000000000,966.55,966.55,966.05,966.1,102173.0
2025-12-26T15:20:00.000000000,966.2,966.45,965.9,966.2,128836.0
2025-12-26T15:25:00.000000000,966.0,966.6,965.85,966.5,181977.0
2025-12-29T09:15:00.000000000,968.0,968.9,964.65,966.55,109477.0
2025-12-29T09:20:00.000000000,966.55,967.45,966.3,967.05,55188.0
2025-12-29T09:25:00.000000000,966.8,967.0,964.35,964.85,60735.0
2025-12-29T09:30:00.000000000,965.05,965.6,964.6,965.6,37503.0
2025-12-29T09:35:00.000000000,965.35,966.7,965.2,965.5,41162.0
2025-12-29T09:40:00.000000000,965.9,965.9,964.2,965.25,93922.0
2025-12-29T09:45:00.000000000,965.4,965.9,965.25,965.55,21207.0
2025-12-29T09:50:00.000000000,965.5,966.05,964.65,964.85,24329.0
2025-12-29T09:55:00.000000000,964.9,965.0,962.4,963.0,69860.0
2025-12-29T10:00:00.000000000,963.0,963.3,961.95,962.05,41980.0
2025-12-29T10:05:00.000000000,962.05,962.7,962.0,962.4,23391.0
2025-12-29T10:10:00.000000000,962.55,962.7,962.0,962.55,16581.0
2025-12-29T10:15:00.000000000,962.45,962.7,962.05,962.15,16372.0
2025-12-29T10:20:00.000000000,962.2,962.5,961.8,962.4,32660.0
2025-12-29T10:25:00.000000000,962.35,963.15,962.35,962.45,25602.0
2025-12-29T10:30:00.000000000,962.55,962.85,962.15,962.7,17120.0
2025-12-29T10:35:00.000000000,962.7,962.8,962.2,962.65,10835.0
2025-12-29T10:40:00.000000000,962.5,962.7,962.0,962.0,21854.0
2025-12-29T10:45:00.000000000,961.5,962.7,961.45,962.6,55223.0
2025-12-29T10:50:00.000000000,962.35,963.0,962.1,962.65,32993.0
2025-12-29T10:55:00.000000000,962.65,962.75,962.1,962.45,21250.0
2025-12-29T11:00:00.000000000,962.45,962.65,961.6,961.6,25173.0
2025-12-29T11:05:00.000000000,961.6,962.55,961.6,962.2,16291.0
2025-12-29T11:10:00.000000000,962.25,962.95,961.85,962.8,51844.0
2025-12-29T11:15:00.000000000,962.75,962.95,962.3,962.4,17441.0
2025-12-29T11:20:00.000000000,962.65,962.8,962.05,962.25,24809.0
2025-12-29T11:25:00.000000000,962.55,963.0,962.2,962.8,46576.0
2025-12-29T11:30:00.000000000,962.8,963.4,962.5,963.1,42047.0
2025-12-29T11:35:00.000000000,963.35,963.35,962.75,962.8,24726.0
2025-12-29T11:40:00.000000000,962.8,963.35,962.75,963.0,16431.0
2025-12-29T11:45:00.000000000,962.9,963.35,962.65,962.8,19222.0
2025-12-29T11:50:00.000000000,962.8,963.3,962.65,963.0,15603.0
2025-12-29T11:55:00.000000000,963.2,963.25,962.2,962.75,43246.0
2025-12-29T12:00:00.000000000,962.7,963.25,962.6,963.05,14532.0
2025-12-29T12:05:00.000000000,963.0,963.35,962.95,963.05,24219.0
2025-12-29T12:10:00.000000000,963.05,963.35,962.55,963.05,20215.0
2025-12-29T12:15:00.000000000,963.05,964.9,962.8,964.7,54425.0
2025-12-29T12:20:00.000000000,964.7,964.95,964.35,964.8,44634.0
2025-12-29T12:25:00.000000000,964.6,965.3,964.35,964.9,54847.0
2025-12-29T12:30:00.000000000,964.9,965.4,964.0,964.0,64282.0
2025-12-29T12:35:00.000000000,963.95,964.05,963.6,963.8,28084.0
2025-12-29T12:40:00.000000000,963.85,964.1,963.5,963.95,61792.0
2025-12-29T12:45:00.000000000,963.9,964.5,963.8,964.25,28988.0
2025-12-29T12:50:00.000000000,964.25,964.35,963.7,964.25,32154.0
2025-12-29T12:55:00.000000000,964.25,964.5,963.6,964.35,63258.0
2025-12-29T13:00:00.000000000,964.25,964.55,964.1,964.35,27793.0
2025-12-29T13:05:00.000000000,964.35,964.45,963.75,964.25,40788.0
2025-12-29T13:10:00.000000000,964.2,964.65,963.85,964.1,58199.0
2025-12-29T13:15:00.000000000,964.1,964.45,964.0,964.1,51750.0
2025-12-29T13:20:00.000000000,964.15,964.75,964.0,964.1,132630.0
2025-12-29T13:25:00.000000000,964.1,964.55,963.75,964.4,131310.0
2025-12-29T13:30:00.000000000,964.25,964.4,963.7,963.95,79687.0
2025-12-29T13:35:00.000000000,963.8,964.0,963.65,963.7,53663.0
2025-12-29T13:40:00.000000000,963.65,964.65,963.65,964.45,75408.0
2025-12-29T13:45:00.000000000,964.5,965.0,964.05,964.65,96201.0
2025-12-29T13:50:00.000000000,964.65,965.4,964.45,965.15,78484.0
2025-12-29T13:55:00.000000000,965.0,966.1,964.9,965.85,245330.0
2025-12-29T14:00:00.000000000,965.85,966.15,965.6,965.8,51511.0
2025-12-29T14:05:00.000000000,965.8,967.25,965.5,967.0,132790.0
2025-12-29T14:10:00.000000000,967.0,967.35,965.7,965.95,112103.0
2025-12-29T14:15:00.000000000,965.9,966.0,965.0,965.5,104459.0
2025-12-29T14:20:00.000000000,965.45,967.15,965.2,967.1,156544.0
